Libellé;Code;Périodicité (PERIODICITE);Coordinateur Pédagogique (COORDO_PEDAGO);Nb jours Total (NB_JOUR);Nb d'heures Total (NB_HEUR);Taux de rémunération (CLPRIX);Prix (FIC_PRIX);Objectif (FIC_OBJ);Public (FIC_PUBLIC);Choisir son cours ou son niveau (CHOIX_COURS_NIV_UE);Prérequis (FIC_PRE_REQ_DES);Auto-Test (AUTOTEST_UE);Programme (FIC_DES_PRG);Renseignements Complémentaires (RENS_COMP_UE);Période(s) d'inscription (FIC_MODAL_INSCRIP);Organisation des sessions (FIC_ORG_SESS);Calendrier (FIC_CAL);Outils pédagogiques (FIC_OUTI_PEDAGO);Stage(s) (FIC_STAGE);Equipements spécifiques (FIC_EQUIP_SPE);Fournitures (FIC_FOURNITUR);Tenues professionnelles (FIC_TENU_PRO);En savoir plus (SAVOIR_PLUS_UE);Lien vers un autre site (LIEN_AUTRE_SITE_UE);Nouveau (FIC_NOUVEAU);Logo certificat de compétence (LOGO01);Logo Diplôme (LOGO02);Logo Cité des métiers (LOGO10);Logo Ecole Du Breuil (LOGO09);Logo Open Badge (LOGO13)
Reprise de confiance en soi en vue d'un oral;RCS;Semestriel;BOUSQUET Denis;15;45;Taux 2;100;Gagner en confiance en soi en vue d’un oral.;Toute personne souhaitant gagner en confiance en soi dans la perspective d’un oral.;;Avoir atteint le niveau minimal du baccalauréat et posséder une bonne connaissance de la langue française.   L'inscription dans les cours n’est effective qu'après avoir passé un test de positionnement permettant l'évaluation du niveau. ;;Les bases de la communication. Les objectifs : activer une dynamique positive. La notion d’image. S’affirmer positivement, gagner en assurance. Dépasser ses peurs et s’engager dans une spirale positive. ;;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus. ;;Semestre 1 : du lundi 02 octobre 2023 au samedi 10 février 2024 inclus Semestre 2 : du lundi 26 février au samedi 29 juin 2024 inclus  3 heures hebdomadaires  Les mercredis, de 18h30 à 21h30, à l'Etablissement François Truffaut Les mercredis, de 14h à 17h au Cours d'Adultes d'Alésia 132 rue d'Alésia     ;;;;;;;;;Non;Non;Non;Non;
Reprise de confiance en soi en vue d'un oral, approche personnalisée;RCS2;Semestriel;BOUSQUET Denis;15;30;Taux 2;90;Gagner en confiance en soi en vue d’un oral.;Toute personne souhaitant gagner en confiance en soi dans la perspective d’un oral.;;Avoir atteint le niveau minimal du baccalauréat et posséder une bonne connaissance de la langue française.   L'inscription dans les cours n’est effective qu'après avoir passé un test de positionnement permettant l'évaluation du niveau. ;;Les bases de la communication. Les objectifs : activer une dynamique positive. La notion d’image. S’affirmer positivement, gagner en assurance. Dépasser ses peurs et s’engager dans une spirale positive. Simulations individuelles d’oraux avec commentaires et fiches d’auto-évaluation. ;;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus. ;;Semestre 1 : du lundi 02 octobre 2023 au samedi 10 février 2024 inclus Semestre 2 : du lundi 26 février au samedi 29 juin 2024 inclus  2 heures hebdomadaires ;;;;;;;;;Non;Non;Non;Non;
Préparer sa reconversion professionnelle;REC/PRO;Session intensive;EZZEDEEN Nour;8;24;Taux 2;80;Questionner ses motivations à entamer une reconversion professionnelle. Les confronter à ses besoins. Faire un travail sur soi. Construire son projet de reconversion. Bâtir son plan d’action. Être éclairé(e) sur la suite à donner pour y voir plus clair.;Demandeurs d’emploi. Adultes en formation continue, dont auditeurs Cours d'Adultes de Paris. Salarié/es en recherche de reconversion professionnelle. ;;Être en phase préparatoire ou active de reconversion professionnelle.;;Faire le point sur mes besoins, mes valeurs, mes motivations, mes compétences.  Approfondir la connaissance de soi, afin d’aller vers un projet qui me correspond.  M'interroger sur mes atouts et mon état d’esprit.  Découvrir les principaux dispositifs liés aux transitions professionnelles.  Avoir des clefs sur les outils de recherche d’emploi.  Entamer des démarches et me positionner sur un nouveau secteur. ;Un plafond de 18 auditeurs a été fixé pour cette session. ;Session 1 : du 19/08 au 09/09/2024 inclus. Session 2 : du 07/01 au 27/01/2025 inclus.;;Session 1 : du mardi 05 novembre 2024 au mardi 07 janvier 2025 inclus. Session 2 : du 4 avril au 13 juin 2025 inclus.  8 séances de 3 heures.;;;;;;;;Non;;;Oui;;
Administrer ses réseaux informatiques locaux, s'initier;RES LOC/1;Semestriel;GUERTAOUI Abdelaziz;15;45;Taux 2;180;S'initier aux réseaux locaux et appréhender les principaux éléments sémantiques.  Comprendre le rôle des différents matériels et logiciels dans un réseau local, les techniques de base d'installation et de configuration d'un protocole de type TCP/IP. ;Personnes souhaitant s’initier aux réseaux informatiques.;;La connaissance du système d’exploitation Microsoft Windows est nécessaire.;;"Compréhension des systèmes binaire et hexadécimal   historique et concepts généraux sur les réseaux   modèles OSIet TCP/IP, topologies, classification des réseaux, adressage IP,sous réseaux, câblages, système de câblage et connectiques,matériels et équipements actifs, architecture et organisation des réseaux.  Programme :  •	Présentation du cours et Introduction. •	Historique et rôles des réseaux. •	La partie physique. •	La partie Logique. •	Classification des réseaux. •	L’adressage IPv4 et IPv6. •	IP et l’accès réseau. •	Les protocoles de transport. •	Les équipements d’interconnexion. •	Les services et protocoles applicatifs. ";A l’issue de votre formation et sous réserve de la validation de vos acquis, les Cours d’Adultes de Paris vous attribueront un certificat de compétences sous forme de badge numérique appelé « Open Badge », à faire valoir auprès de tout employeur. Il vous sera adressé par courriel, un lien à valider.;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus.     ;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus. Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  3 heures hebdomadaires. ;;;;Les auditeurs devront se munir d’une clé USB pour enregistrer les travaux et exercices.;;;;Non;Oui;Non;Non;Non;Oui
Administrer ses réseaux informatiques locaux, approfondir ses compétences;RES LOC/2;Semestriel;GUERTAOUI Abdelaziz;15;45;Taux 2;200;Optimiser de manière professionnelle la mise en œuvre d’une architecture sécurisée client/serveur.;Ce cours s’adresse notamment à de futurs administrateurs réseaux : utilisateurs concernés par le choix, la mise en œuvre, le support, l’intégration et l’administration des réseaux locaux.;;Personnes ayant les compétences du cours « Réseaux locaux : s’initier » ou possédant un niveau équivalent.;; Différents types de réseaux public et privé   architecture générale, principaux outils, problématique de la sécurité associée, protocoles de routage statique et dynamiques NAT/RIP/EIGRP/HSRP/OSPF, etc, configurations client/serveur, sécurité des architectures, adressages et interconnexions de PAN/LAN/MAN/WAN, mise en place d’architectures redondantes et de hautes disponibilités, création de VLAN et de routage inter-VLAN, création d’un VPN IPsec, mise en place de la VOIP, configuration d’un réseau Wifi Radius, virtualisation de réseaux. ;A l’issue de votre formation et sous réserve de la validation de vos acquis, les Cours d’Adultes de Paris vous attribueront un certificat de compétences sous forme de badge numérique appelé « Open Badge », à faire valoir auprès de tout employeur.  Il vous sera adressé par courriel, un lien à valider;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus.   ;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus. Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  3 heures hebdomadaires.  ;;;;Les auditeurs devront se munir d’une clé USB pour enregistrer les travaux et exercices.;;;;Non;Oui;Non;Non;Non;Oui
Smartphones, tablettes, applications, sécurité et bureautique - S'initier et approfondir leur utilisation;RES SOC;Semestriel;GUERTAOUI Abdelaziz;10;30;Taux 2;160;Connaître les principes et fonctionnalités des smartphones et tablettes.   Apprendre à utiliser leur Cloud, les suites gratuites Google GSuite ou Open Office, leurs applications, partager leurs documents avec le PC, les modifier et les sauvegarder. ;Utilisateurs des Smartphones, Tablettes et PC.;;Personnes ayant les compétences équivalentes au cours «informatique et internet niveau1: S'initier à l'information et à la communication numérique».;;"•	Apprendre ou approfondir l’utilisation des smartphones et tablettes.  •	Savoir configurer leurs paramètres, leurs sauvegardes, les sécuriser, utiliser leurs fonctionnalités et applications.  •	S’initier aux fonctionnalités et à l’utilisation des applications telles que GoogleDrive, GSuite (Docs, Sheets, etc.), Open Office (adaptableauPackOffice365), s’initier à l’IA ChatGPT sur l’application Bing et son assistant Copilot.  •	Découvrir comment utiliser ou modifier les documents textes, tableaux ou présentations sur Smartphone et sur PC via Google GSuite ou Open Office.  •	Apprendre à retrouver ses sauvegardes sur le Cloud et les utiliser sur le PC, transférer ses photos et vidéos, ses téléchargements du smartphone et tablettes au PC. ";;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus.  ;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus. Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  3 heures hebdomadaires.;;;;Les auditeurs devront se munir d’une clé USB pour enregistrer les travaux et exercices.;;;;Non;Non;Non;Non;Non;
Concevoir un site Web responsive, dynamique et accessible ;RESP;Semestriel;GUERTAOUI Abdelaziz;15;45;Taux 2;260;L'objectif de ce cours est de consolider les apprentissages du cours HTML/CSS3 s'initier, en ajoutant des notions avancées de HTML et CSS et en introduisant le développement JS adapté à la conception de site dynamique;Personnes ayant suivi le cours « Programmer en HTML5 et Feuilles de style CSS3 » ou niveau équivalent. ;;Les prérequis pour ce cours sont de connaitre les bases du HTML et du CSS, de savoir utiliser un éditeur de code - Visual Studio Code sera notre éditeur-.;;Construire une première page web  GIT et Github  HTML les dernières nouveautés  Sélecteurs avancés et nouveautés dans ces sélecteurs Mise en pages avancées Responsive CSS Variables SASS Accessibilité Formulaires avancés Premiers pas en JavaScript JavaScript les blocs Introduction aux objets JavaScript API Web côté client Résoudre les problèmes JavaScript courants CANVAS et SVG ;;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus.;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus. Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  3 heures hebdomadaires.;;;;Les auditeurs devront se munir d’une clé USB pour enregistrer les travaux et exercices.;;;;;Oui;Non;Non;Non;
Métiers du BIM : REVIT Architecture niveau 1;REVIT/ARCHI/1;Semestriel;FARAH Reda;15;45;Taux 3;300;Être opérationnel dans un projet et pouvoir utiliser le logiciel avec ses fonctionnalités de base. Introduction au travail en équipe avec les sous-projets.;Architectes, architectes d’intérieur, techniciens de bureaux d'études, calculateurs, Ingénieurs ou tous professionnels du bâtiment.;;Maîtrise de l’environnement Windows et connaissance de la maîtrise d'œuvre du bâtiment.;;. Introduction. . Dessin et édition. . Début de projet. . Modélisation (Familles systèmes). . Modélisation (Familles chargées). . Tableaux. . Détails, coupes et dessins. . Finalisation. . Introduction au travail d’équipe.;;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus. ;;Semestre 1 : du lundi 7 octobre 2024 au samedi 15 février 2025 inclus. Semestre 2 : du lundi 3 mars au lundi 30 juin 2025 inclus.  3 heures hebdomadaires. ;;;;;;;;Non;Oui;Non;Non;Non;Oui
Métiers du BIM : REVIT Architecture niveau 2;REVIT/ARCHI/2;Semestriel;FARAH Reda;15;45;Taux 3;300;Mettre en œuvre les techniques de modélisation des familles (éléments de base de la modélisation sur Revit) et les outils de gestion des paramètres d’un modèle Revit.   Se perfectionner sur les méthodes de récupération des propriétés des éléments d’un projet Revit.;Architectes, architectes d’intérieur, techniciens de bureaux d'études, calculateurs, ingénieurs ou tous professionnels du bâtiment.;;Avoir suivi la formation : Métiers du BIM : REVIT Architecture niveau 1.;;. Gestion des liens et Sous-Projets. . Volumes Conceptuels. . Familles de Base.  . Phases et Variantes.   . Topographie. ;;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus. ;;Semestre 1 : du lundi 7 octobre 2024 au samedi 15 février 2025 inclus. Semestre 2 : du lundi 3 mars au lundi 30 juin 2025 inclus.  3 heures hebdomadaires. ;;;;;;;;Non;Oui;Non;Non;Non;Oui
Représentation graphique d'architectures et d’espaces végétalisés;RGAEV;Cours annuel;GUY Claude;30;90;Taux 1;300;S'initier aux techniques de différents types de dessins d’architectures, d’environnements, et espaces végétalisés.  Ce module fait partie des parcours métier: Agenceur d’espaces, Illustrateur et Plasticien. ;Étudiants, professionnels ayant besoin de communiquer rapidement des projets dans les domaines de l'aménagement d'espaces, de la communication visuelle et de l'aménagement paysager.;;Avoir une pratique du dessin.;;Etudier les techniques de représentation graphique de l’espace urbain, d’architectures et d’espaces végétalisés.                                                                                                                  Initiation à la perspective, au croquis, à la mise en couleur, à la technique du rough au feutre, aux techniques mixtes, aux rendus de matières.                                                                         Constitution d’un dossier de reportage d’observation à thème.                                                                                                                                                                                                                                        Les cours en salle sont associés à nombreuses séances de dessin sur sites : promenades urbaines, musées, jardins parisiens, parcs du grand Paris…  ;Jeudi  15 séances en salle et 15 sorties;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. ;;Cours annuel de 90h. Du jeudi 10 octobre au jeudi 26 juin 2025. De  14h45 à 17h45. 15 séances en salle et 15 sorties d’après un calendrier fourni le 1er jour des cours.                       3 heures hebdomadaires. École Ramponeau, 51 rue Ramponeau (20ème);;;;Fournitures à la charge des auditeurs à prévoir et à ajuster selon les consignes que donnera l’enseignant. 1 Bloc Layout A3 spécial feutres Hahnemüle Fineart Feutres couleurs pour une base de travail - marque PROMARKER  1 Rouleau de calque d’étude CANSON, 45 grammes - 35 cm. Crayon à papier / porte mine, gomme 1 carnet de croquis ;;;;;;Non;Non;Non;Non
Dessin et rough de personnages, avec modèles vivants;ROUGH/1;Semestriel;GUY Claude;15;45;Taux 1;300;Apprendre à communiquer rapidement des projets, des idées dans les domaines de la publicité, du stylisme, du design…par le dessin et la technique du rough au feutre.;Étudiants, personnes ayant un projet dans le domaine de la communication visuelle, les arts appliqués, les arts plastiques, les métiers d'art...;;Avoir une pratique du dessin   ;;Étude du mouvement d’après modèles vivants et documents photographiques : morphologie, mouvements, vêtements, personnage dans un espace. Étude des expressions du visage, la traduction d’actions : manger, boire, sourire… Notions de perspective. Initiation aux techniques traditionnelles de mise en couleur en rough : feutre, aquarelle, crayon, estompe, et à la mise en valeur en niveau de gris d'un rough. Expression des volumes, des espaces, rendu des ambiances lumineuses d'après des documents photographiques et sur sites.  Dessin d’objets manufacturés et sa représentation au feutre.;;Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus.;;Semestre 2 : du lundi 3 mars au lundi 30 juin 2025 inclus.                                                                15 séances de 3h hebdomadaires :    10 séances environ en salle et 5 sorties de dessin en extérieur.                                                                                          École Ramponeau. 51 rue Ramponeau  (20e);;;;fournitures à la charge des auditeurs à prévoir et à ajuster selon les consignes que donnera l’enseignant: Carnet de croquis                                                                                                          Matériel de dessin                                                                                                                 Feutres et carnet pour le rough;;;;;Non;Non;Non;Non;
Rough et dessin d'espaces;ROUGH/DES;Semestriel;GUY Claude;15;45;Taux 1;300;S'initier aux techniques du rough et aux différents types de dessins nécessaires au traitement des espaces. Ce module fait partie des parcours métier: Agenceur d’espaces, Illustrateur et Plasticien.;Étudiants, professionnels ayant besoin de communiquer rapidement des projets dans les domaines de l'aménagement d'espaces, de la communication visuelle et de l'aménagement paysager.;;Avoir des notions en dessin.;;Etudier les techniques de représentation d'espaces architecturaux, urbain. Etude la technique du rough au feutre. Exploiter une documentation photographique. Produire des ambiances colorées et des mises en couleurs de dessins en perspective.;A l’issue de votre formation et sous réserve de la validation de vos acquis, les Cours d’Adultes de Paris vous attribueront un certificat de compétences sous forme de badge numérique appelé « Open Badge », à faire valoir auprès de tout employeur. Il vous sera adressé par courriel un lien à valider.;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus.  ;;Cours du 1er semestre : du mercredi 9 octobre 2024 au mercredi 12 février 2025 inclus. De 18h30 à 21h30.                                                3 heures hebdomadaires.                                                         EPSAA, 1 place Pierre Gosnat Ivry sur Seine ;;;;Fournitures à la charge des auditeurs à prévoir et à ajuster selon les consignes que donnera l’enseignant. Une liste plus complète sera donnée dés le début des cours.  - Feutres couleurs pour une base de travail - marque PROMARKER  - Warm Grey 2, Warm Grey 5 - Ice Grey 2, Ice Grey 5, Black. - 1 Bloc Layout A3 spécial feutres Hahnemüle Fineart - 1 Rouleau de calque d’étude CANSON, 45 grammes - 35 cm. - Crayon à papier / porte mise, gomme. ;;;;Non;Oui;Non;Non;Non;Oui
Réparations et surcyclage - Chemise et motifs - Techniques de retouches créatives (upcycling);RSCM;Semestriel;GENAUDEAU Béatrice;15;45;Taux 1;120;concevoir et fabriquer un modèle de vêtement à manches en utilisant des techniques de création textile à partir de chemises et de matières à motifs.;Personnes ayant un projet professionnel dans le secteur de la mode écoresponsable et/ou souhaitant acquérir des compétences dans un but d’économie familiale. ;; Savoir utiliser une machine à coudre familiale et/ou industrielle. Admission sur test et entretien le 1er jour des cours. Matériel nécessaire : ;;- Réalisation d'une veste de kimono (à partir d’une base) en utilisant la technique du slashing textile   - Réalisation d'une pièce à manches (à partir d’une base) en utilisant la technique du patchwork   - Réalisation d'une blouse à partir de chutes et réutilisation des fournitures de chemises usagées.  ;Les techniques enseignées ne peuvent être maîtrisées sans entraînement ni travail personnel.;Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus.  ;;Semestre 2 : du lundi 3 mars au lundi 30 juin 2025 inclus. Cours semestriel. Le lundi de 14h à 17h. 15 séances de 3 heures hebdomadaires. ;;;;Une liste de fournitures sera remise lors du 1er cours (à la charge des auditeurs). Prévoir des vêtements d’occasion en coton (vieilles chemises, chutes de tissus etc.) ;;;;Oui;;;;;
Intégrer la RSE dans sa stratégie d'entreprise.;RSE/2;Session intensive;YOMO Cyliane;4;24;Taux 2;150;Cette formation a pour objectif de sensibiliser et d'accompagner les entrepreneurs dans l'intégration de la Responsabilité Sociétale des Entreprises (RSE) au cœur de leur stratégie d'entreprise.  À l'issue de cette formation, les participants seront en mesure de comprendre les enjeux de la RSE, d'identifier les opportunités qu'elle représente, et de mettre en place des actions concrètes pour améliorer la performance globale et durable de leur entreprise.  Cette formation combine des apports théoriques, des études de cas, et des ateliers pratiques pour une compréhension approfondie et une application immédiate des concepts. Les participants repartiront avec une vision claire et des outils opérationnels pour intégrer efficacement la RSE dans leur stratégie d'entreprise ;Cette formation s'adresse aux entrepreneurs, créateurs d'entreprise, dirigeants de TPE-PME, responsables de développement durable, et à toute personne impliquée dans la stratégie d'entreprise. Aucune connaissance préalable en RSE n'est requise. ;;;;"1.Définir le contexte et les enjeux du développement durable •	Comprendre les défis globaux du développement durable •	Les objectifs de développement durable (ODD) de l'ONU •	Enjeux environnementaux, sociaux et économiques actuels  2.Introduction à la RSE et à ses acteurs •	Qu'est-ce que la RSE ? Définitions et concepts •	Les acteurs de la RSE : entreprises, gouvernements, ONG, consommateurs •	Pourquoi la RSE ? Les motivations et les bénéfices pour les entreprises  3.Cadre de la RSE et la norme ISO 26000 •	Présentation de la norme ISO 26000 •	Les principes directeurs de la RSE selon l'ISO 26000 •	Intégration de la norme dans la stratégie d’entreprise  4.Étape préalable à une stratégie RSE : l’état des lieux •	Réaliser un diagnostic initial : analyser ses pratiques actuelles •	Identifier les parties prenantes et comprendre leurs attentes •	Utiliser les outils et référentiels de diagnostic RSE  5.Définir sa stratégie RSE : le plan d’action •	Définir des objectifs RSE alignés avec la stratégie d’entreprise •	Élaborer un plan d’action concret et priorisé •	Focus sur la raison d’être : comment définir et intégrer la raison d’être de l’entreprise et sa vision dans la stratégie RSE  6.Mettre en œuvre des actions concrètes •	Actions environnementales : gestion des ressources, réduction des déchets, énergie renouvelable •	Actions sociales : bien-être des salariés, diversité et inclusion, relations avec les communautés locales •	Actions économiques : pratiques commerciales responsables, éthique des affaires, transparence  7.Mesurer et communiquer sur ses performances RSE •	Choisir et utiliser les indicateurs de performance RSE •	Mettre en place un reporting RSE efficace •	Communiquer ses engagements et résultats auprès des parties prenantes (clients, employés, investisseurs, etc.)  8.Études de cas et bonnes pratiques •	Analyser des exemples de stratégies RSE réussies •	Partager des témoignages et retours d’expérience •	Discuter des défis et solutions pour une mise en œuvre efficace  9.Ateliers pratiques et élaboration de plans d’action •	Réaliser un diagnostic RSE de son entreprise •	Définir des objectifs et des actions prioritaires •	Élaborer un plan d’action personnalisé et concret ";;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 7 janvier au lundi 27 janvier 2025 inclus.   ;;Session 1: du 22 au 25 octobre 2024 Session 2: du 14 au 17 avril 2025 ;;;;;;;;Oui;;Non;Non;Non;
Réparations et surcyclage du jean - Techniques de retouches créatives (upcycling) ;RSJ;Semestriel;GENAUDEAU Béatrice;15;45;Taux 1;120;S’initier aux différentes techniques de réparation du jean. Surcycler un jean. ;Personnes ayant un projet professionnel dans le secteur de la mode écoresponsable et/ou souhaitant acquérir des compétences dans un but d’économie familiale. ;;Savoir utiliser une machine à coudre familiale et/ou industrielle. Admission sur test et entretien le 1er jour des cours. Matériel nécessaire :  ;;Apprentissage de différentes techniques de réparation et de raccommodage Surcyclage d’un jean et transformations ;Les techniques enseignées ne peuvent être maîtrisées sans entraînement ni travail personnel.;Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus.  ;;Semestre 1 : du lundi 7 octobre 2024 au samedi 15 février 2025 inclus. Cours semestriel. Le lundi de 14h à 17h. 15 séances de 3 heures hebdomadaires.   ;;;;Une liste de fournitures sera remise lors du 1er cours (à la charge des auditeurs). Prévoir un ou plusieurs jeans. ;;;;Oui;;;;;
Russe annuel 60h niveau 4 (B2 visé);RU/A;Cours annuel;LAUNAY Elisabeth;30;60;Taux 1;220;Apprendre la langue russe ou se perfectionner pour répondre aux situations de la vie courante et découvrir des aspects variés de la culture et de la civilisation russes.;Tout public.; https://scap.paris.fr/uploads/Niveaux_du_CECRL_catalogue_SCAP.pdf;Le niveau 4 (B2 visé) nécessite l’acquisition préalable des compétences requises au niveau inférieur. Inscription sur tests sauf pour les auditeurs ayant obtenu, l’année précédente, un certificat de compétences du niveau inférieur à celui du cours visé. ;;Entraînement progressif aux 5 compétences définies par le CECRL (Cadre Européen Commun de Référence pour les Langues) : compréhension orale, expression orale en continu, expression orale en interaction, compréhension écrite, expression écrite. Niveau d’enseignement proposé : B.2.2 avec reprise des niveaux inférieurs (B1.2 et B2.1) ;;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. ;;Du lundi 7 octobre 2024 au lundi 30 juin 2025 inclus. 2 heures hebdomadaires. L’ouverture des cours programmés est conditionnée par un nombre minimum d’auditeurs d’un niveau homogène. ;;;;;;;;Non;Oui;Non;Non;Non;
Russe oral intensif, approche interculturelle (C1 visé);RU/CULT;Cours annuel;LAUNAY Elisabeth;30;60;Taux 1;250;Communication orale. A partir d’une grande variété de documents sonores (émissions de télévision, radio, extraits de films, chansons…),  les participants acquièrent les techniques d’écoute propres à améliorer leur compréhension de la langue parlée. Prenant appui sur ces documents ou des situations de la vie réelle, diverses activités d’expression orale leur permettent d’acquérir les outils nécessaires à la communication orale. A l’écrit :  La lecture guidée de textes divers, dont des extraits d’œuvres littéraires, entraîne les participants à la compréhension de l’écrit et permet un contact direct avec la littérature russe. Les compétences langagières ne sont pas seules en jeu dans la communication. L'acquisition des compétences interculturelles est tout aussi  indispensable. A cheval sur l’Europe et  l’Asie, la Russie nous surprend souvent par ses spécificités culturelles. Ce cours se propose de les aborder, afin d’approfondir la connaissance de la culture russe et aussi de mieux communiquer et travailler avec les Russes. ;Tout public.; https://scap.paris.fr/uploads/Niveaux_du_CECRL_catalogue_SCAP.pdf;Ce cours nécessite l’acquisition préalable des compétences du niveau B1/B2 du CECRL (Cadre Européen –Commun de Référence pour les Langues - http://outils-orientation-information.fr.nf/).;;Les thèmes suivants seront abordés : saluer, se présenter, s’adresser à quelqu’un, se tenir à table, inviter…  Les fêtes collectives et individuelles, les relations professionnelles, la communication non-verbale, les lieux et formes de sociabilité, les croyances et rituels, la perception du temps... ;;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. ;;Du lundi 7 octobre 2024 au lundi 30 juin 2025 inclus. 2 heures hebdomadaires.;;;;;;;;Non;Oui;;;;
Approche culturelle et linguistique du Russe (A1 visé);RU/CULT/D;Cours annuel;LAUNAY Elisabeth;30;60;Taux 2;250;Ce cours s’adresse à des débutants désirant découvrir les spécificités culturelles russes et acquérir des compétences en langue. L’entrée culturelle sera faite en français et les éléments linguistiques proposés en russe toujours en lien avec la visée culturelle.  ATTENTION : la formation sera uniquement assurée à distance.;Débutants; https://scap.paris.fr/uploads/Niveaux_du_CECRL_catalogue_SCAP.pdf;Aucun  Les candidats doivent disposer d’un ordinateur personnel, d’un micro et d’une webcam ainsi que d’une connexion à internet stable (box internet). Il doivent être, par ailleurs, familiarisés avec les outils bureautiques et de visioconférence.;;Notions linguistiques de base, les éléments essentiels de la culture russe (gastronomie, repères historiques et géographiques…)  Niveau d’enseignement proposé : A1.1 du CECRL;"Compétences de l’oral et de l’écrit prenant appui sur le Cadre Européen Commun de Référence pour les langues (CECRL)	";Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus.;;Du lundi 7 octobre 2024 au lundi 30 juin 2025 inclus. Mercredi 18h30-20h30;Moodle (formation en distanciel);;"Pour les sessions en distanciel et hybride, les cours se déroulent sur la plateforme pédagogique des Cours d’Adultes de Paris. Ceux-ci sont présentés sous la forme de classes virtuelles, où les interactions avec le.la formateur.rice et le groupe sont nombreuses. Nous précisons qu'aucun lien de visioconférence ne sera envoyé directement par mail. Pour y participer, il est très vivement recommandé de : •	Se connecter d’un ordinateur personnel ou d'une tablette, équipé·e d’un micro, d’une webcam et d’une connexion internet stable (box internet et possibilité de connexion en filaire) •	Être familiarisé·e avec l’utilisation des outils de visioconférence •	Pouvoir participer aux cours dans un environnement calme et sans être dérangé·e •	En fonction des formations, pouvoir consulter des fichiers PDF et travailler sur des fichiers de traitement de texte (Word, Writer) et tableurs (Excel, Calc) Par ailleurs, l’assiduité, en formation en distanciel comme en présentiel, est nécessaire pour des raisons de progression pédagogique et sera relevée par le·la formateur·rice.  N’hésitez pas à remplir l’auto-questionnaire du distanciel (voir rubrique « Lien vers un autre site ») pour vérifier si votre équipement et installation sont adaptés au suivi de cours en distanciel ou en hybride au SCAP. ";;;;http://verifiez-vos-prerequis-distanciel.fr.nf/ ;;Oui;;;;
